text,label
"Win a free iPhone! Claim now!",1
"Important update about your account",0
"Congratulations, you've won a lottery!",1
"Meeting at 3 PM to discuss the project.",0
"Earn money fast working from home!",1
"Reminder: Your doctor's appointment is tomorrow.",0
"Get a discount on medications today!",1
"Please review the attached document for the meeting.",0
"Limited time offer: Buy one, get one free!",1
"Your subscription has been successfully renewed.",0
"Click here to claim your reward!",1
"Team meeting scheduled for 4 PM.",0
"Free vacation to the Bahamas – Apply now!",1
"Invoice for last month's subscription",0
"Exclusive offer: 50% off your next purchase",1
"Important notice about your bank account",0
"Sign up today and earn $1000 a week!",1
"Your recent order has been shipped",0
"Unlock your free prize by clicking here!",1
"Project deadline extended to next week",0
